seed,draws,mean_kgco2e,std_kgco2e,p05_kgco2e,median_kgco2e,p95_kgco2e,mc_mean_standard_error_kgco2e,mean_delta_vs_25000_kgco2e,p95_delta_vs_25000_kgco2e,is_comparator
20260905,1000,4000.3005408993795,259.2530284139078,3573.4167527808595,4010.354064798807,4417.34175167712,8.198300600842988,-3.7407176147671635,-17.407133556329427,False
20260905,2500,3999.6351357914923,260.9232990023456,3569.101475657409,4000.632848934805,4433.636671487726,5.218465980046911,-4.406122722654345,-1.1122137457232384,False
20260905,5000,3999.704628981471,259.2439450441691,3568.64283338865,3999.145200378396,4432.050393194104,3.6662630304456925,-4.336629532675488,-2.698492039345183,False
20260905,10000,4000.9118300457403,256.72247400905735,3577.042469775805,4000.4318618321313,4430.469311912687,2.5672247400905737,-3.1294284684063314,-4.279573320762211,False
20260905,25000,4004.0412585141466,259.27886127316646,3575.424328879378,4003.787327308498,4434.748885233449,1.6398235015160612,0.0,0.0,True
20260906,1000,4010.0138132514553,250.17472804212161,3579.60649867586,4021.4889919804314,4406.902329307578,7.91121953626301,7.5450802418749845,-22.84459258580864,False
20260906,2500,4004.9085537610663,254.81994011378222,3565.4552509813584,4008.844754435875,4419.088877871618,5.096398802275645,2.4398207514859678,-10.658044021768546,False
20260906,5000,4002.8725996407593,258.92323817934914,3568.2603568187997,4002.007800630884,4432.164467161902,3.661727550467947,0.40386663117897115,2.4175452685158234,False
20260906,10000,4000.5725586000817,258.3793666447774,3570.3620800232225,4001.0475914427775,4428.017785039187,2.583793666447774,-1.8961744094985988,-1.7291368541991687,False
20260906,25000,4002.4687330095803,257.937524722183,3570.423935651733,4003.5586591073825,4429.746921893387,1.6313401442961766,0.0,0.0,True
20260907,1000,3995.1809438414007,257.0770612802132,3579.9763250760075,3986.1839298441714,4423.218727857181,8.129490478281555,-6.812911142354096,-9.582355387588905,False
20260907,2500,3993.861721734054,262.9859284117911,3566.2258866594852,3989.1811942785343,4426.739015795463,5.259718568235822,-8.132133249700928,-6.062067449306596,False
20260907,5000,3998.8898572835074,262.6697648074765,3570.0918150018047,4000.2454849500764,4428.8702071211155,3.7147114381608435,-3.103997700247419,-3.9308761236543432,False
20260907,10000,4002.045112911927,260.8590505407684,3572.938953592823,4003.10580547068,4433.175323912361,2.608590505407684,0.05125792817216279,0.3742406675910388,False
20260907,25000,4001.9938549837548,259.56955076404796,3574.6528963656933,4002.160047227084,4432.80108324477,1.6416619832821817,0.0,0.0,True
